triangles;cycles;flops;memory;triangletests
5441970;4066096;10019552;10867728;106770
4897772;1067582;2509158;1883240;5605
4353575;801236;1573296;1168072;3057
3809377;1007792;2169053;1514264;1835
3265181;772978;1622887;1228112;3770
2720982;924626;1941065;1447200;4132
2176785;511774;1053637;792784;2314
1632589;1773096;3580368;3518464;28832
1088392;404654;816883;588984;1151
544194;475180;889832;778624;4720
