triangles;cycles;flops;memory;triangletests
5441970;5745044;6321464;13856288;105319
4897772;1621210;656074;3248856;5187
4353575;1204918;389298;2027632;2526
3809377;1587346;446424;2799672;1487
3265181;1261322;446764;2102296;3499
2720982;1414190;504293;2530392;3827
2176785;842440;261009;1332144;1862
1632589;2421864;1849020;4854648;28023
1088392;658882;193896;1047288;999
544194;1184582;1070572;2413080;17451
