triangles;cycles;flops;memory;triangletests
5441970;2485010;3145876;6739440;52881
4897772;269988;99569;452624;882
4353575;224020;105647;298776;459
3809377;213814;95848;383304;865
3265181;196998;75240;248120;47
2720982;95100;12616;37872;14
2176785;105522;47973;386608;1942
1632589;61180;21661;430736;2178
1088392;227210;102806;360016;1082
544194;105200;54822;151008;668
