triangles;cycles;flops;memory;triangletests
5441970;1939772;3624230;6738928;52881
4897772;197316;212221;439824;882
4353575;171586;199571;397104;758
3809377;160006;177566;373912;827
3265181;163426;153686;321352;801
2720982;75152;40508;83952;14
2176785;103232;76241;138920;621
1632589;63978;34489;68088;263
1088392;184502;180238;359584;1076
544194;96922;89232;178656;668
