triangles;cycles;flops;memory;triangletests
5441970;4666360;7417706;13856288;105319
4897772;1050766;1494320;3248856;5187
4353575;798968;952396;2027632;2526
3809377;945906;1297400;2799672;1487
3265181;770572;1014160;2102296;3499
2720982;954360;1224249;2530392;3827
2176785;526706;623169;1332144;1862
1632589;1775908;2464916;4854648;28023
1088392;408648;483756;1047288;999
544194;877776;1305604;2413080;17451
